 ,NODE_AND,NODE_ARGS,NODE_ARGSCAT,NODE_ARGS_AUX,NODE_ARRAY,NODE_BACK_REF,NODE_BEGIN,NODE_BLOCK,NODE_BLOCK_PASS,NODE_BREAK,NODE_CALL,NODE_CASE,NODE_CDECL,NODE_CFUNC,NODE_CONST,NODE_CVAR,NODE_CVASGN,NODE_DASGN,NODE_DASGN_CURR,NODE_DEFN,NODE_DREGX,NODE_DREGX_ONCE,NODE_DSTR,NODE_DVAR,NODE_ENSURE,NODE_EVSTR,NODE_FBODY,NODE_FCALL,NODE_FOR,NODE_GASGN,NODE_GVAR,NODE_HASH,NODE_IASGN,NODE_IF,NODE_ITER,NODE_IVAR,NODE_LASGN,NODE_LIT,NODE_LVAR,NODE_MASGN,NODE_MATCH2,NODE_MATCH3,NODE_METHOD,NODE_NEXT,NODE_NTH_REF,NODE_OPT_ARG,NODE_OP_ASGN1,NODE_OP_ASGN2,NODE_OP_ASGN_OR,NODE_OR,NODE_RESBODY,NODE_RESCUE,NODE_RETRY,NODE_RETURN,NODE_SCOPE,NODE_SPLAT,NODE_STR,NODE_SUPER,NODE_UNTIL,NODE_VALUES,NODE_VCALL,NODE_WHEN,NODE_WHILE,NODE_YIELD,NODE_ZARRAY,NODE_ZSUPER
1,0.054,1.133,0.022,1.154,4.272,0.000,0.108,5.329,0.000,0.022,3.430,0.000,0.097,19.310,2.050,0.032,0.054,0.054,0.119,0.334,0.000,0.000,0.205,0.744,0.000,0.302,19.838,0.787,0.011,0.000,0.086,0.043,0.442,0.787,0.334,0.787,0.485,0.852,1.370,0.022,0.000,0.032,20.334,0.022,0.054,0.032,0.000,0.000,0.140,0.108,0.140,0.140,0.032,0.108,1.424,0.011,1.284,0.011,0.000,0.000,0.259,0.000,8.350,0.022,0.162,0.000
2,0.038,0.863,0.019,0.863,6.719,0.009,0.075,5.846,0.000,0.009,2.674,0.000,0.141,16.796,3.256,0.028,0.047,0.009,0.160,0.160,0.009,0.000,0.188,0.704,0.000,0.282,17.538,0.666,0.000,0.000,0.066,0.056,0.300,0.610,0.263,0.385,0.366,0.619,1.098,0.028,0.000,0.028,18.129,0.019,0.084,0.028,0.000,0.000,0.122,0.122,0.084,0.075,0.009,0.084,1.070,0.009,4.072,0.000,0.000,0.000,0.225,0.000,11.138,0.019,0.103,0.000
3,0.143,1.513,0.026,1.526,7.545,0.000,0.078,7.584,0.013,0.007,5.119,0.046,0.098,11.673,2.152,0.196,0.098,0.020,0.320,0.541,0.020,0.000,0.476,1.702,0.007,0.737,13.179,1.519,0.000,0.000,0.052,0.085,0.463,0.998,0.580,1.063,0.717,1.500,2.537,0.026,0.007,0.052,14.477,0.026,0.052,0.046,0.000,0.013,0.091,0.150,0.124,0.111,0.000,0.124,1.735,0.065,1.695,0.000,0.000,0.000,0.561,0.157,12.899,0.026,0.189,0.007
4,0.088,1.154,0.013,1.154,4.711,0.013,0.094,6.702,0.040,0.007,3.631,0.034,0.162,12.871,1.870,0.027,0.034,0.074,0.121,0.277,0.007,0.000,0.189,0.992,0.000,0.270,15.956,0.756,0.000,0.007,0.054,0.061,0.385,0.776,0.371,1.228,0.634,1.107,1.843,0.020,0.000,0.061,18.075,0.020,0.074,0.027,0.000,0.000,0.088,0.101,0.074,0.067,0.000,0.074,1.377,0.034,1.053,0.000,0.000,0.000,0.297,0.061,17.940,0.061,0.148,0.000
5,0.104,1.517,0.010,1.517,8.125,0.000,0.068,7.135,0.031,0.026,4.711,0.026,0.235,9.939,2.022,0.021,0.026,0.047,0.151,0.516,0.000,0.005,0.172,1.105,0.000,0.240,12.607,1.324,0.000,0.005,0.042,0.203,0.281,0.844,0.474,0.829,1.418,2.132,3.632,0.120,0.000,0.063,14.493,0.016,0.068,0.380,0.000,0.000,0.073,0.104,0.073,0.068,0.000,0.120,1.767,0.031,1.532,0.000,0.000,0.036,0.547,0.042,15.963,0.047,0.063,0.005
6,0.012,0.337,0.000,0.337,2.890,0.000,0.018,6.118,0.006,0.000,1.120,0.000,0.012,11.470,0.650,0.000,0.000,0.000,0.042,0.229,0.000,0.000,0.120,0.506,0.000,0.205,17.076,0.644,0.000,0.000,0.018,0.090,0.000,0.428,0.102,0.482,0.247,1.006,0.921,0.000,0.006,0.006,21.339,0.012,0.006,0.126,0.000,0.000,0.000,0.006,0.072,0.066,0.000,0.108,0.379,0.012,0.632,0.000,0.012,0.000,0.084,0.000,30.756,0.000,0.006,0.072
7,0.085,0.695,0.000,0.695,5.566,0.000,0.040,6.817,0.004,0.000,2.008,0.004,0.018,8.732,1.029,0.000,0.000,0.009,0.049,0.459,0.004,0.000,0.138,0.797,0.000,0.245,14.579,1.184,0.000,0.018,0.053,0.094,0.111,0.668,0.218,0.445,0.414,1.260,1.585,0.000,0.022,0.004,18.524,0.013,0.004,0.147,0.000,0.000,0.018,0.031,0.129,0.120,0.009,0.191,0.775,0.009,2.191,0.000,0.009,0.000,0.134,0.036,27.542,0.040,0.009,0.641
8,0.085,0.696,0.000,0.696,5.458,0.000,0.054,6.841,0.004,0.000,2.002,0.004,0.018,8.745,1.048,0.000,0.000,0.009,0.054,0.459,0.004,0.000,0.138,0.807,0.000,0.245,14.600,1.186,0.000,0.018,0.054,0.094,0.111,0.669,0.219,0.446,0.415,1.271,1.588,0.000,0.022,0.004,18.551,0.013,0.004,0.147,0.000,0.000,0.018,0.031,0.129,0.120,0.009,0.192,0.776,0.009,2.074,0.000,0.009,0.000,0.134,0.036,27.567,0.040,0.004,0.642
9,0.000,0.064,0.000,0.064,1.035,0.000,0.014,6.928,0.000,0.000,0.331,0.000,0.000,8.903,0.245,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.036,0.132,0.005,0.045,17.343,0.268,0.000,0.000,0.018,0.009,0.000,0.054,0.068,0.599,0.059,0.227,0.118,0.000,0.000,0.005,23.350,0.000,0.005,0.005,0.000,0.000,0.000,0.005,0.032,0.032,0.000,0.000,0.132,0.000,0.463,0.000,0.000,0.000,0.014,0.000,37.760,0.000,0.005,0.654
10,0.000,0.060,0.000,0.060,0.997,0.000,0.009,7.208,0.000,0.000,0.294,0.000,0.000,8.605,0.222,0.000,0.000,0.000,0.004,0.013,0.000,0.000,0.030,0.183,0.004,0.089,17.235,0.251,0.000,0.000,0.000,0.009,0.000,0.051,0.068,0.639,0.055,0.213,0.102,0.000,0.000,0.004,23.404,0.000,0.004,0.000,0.000,0.000,0.000,0.004,0.013,0.013,0.000,0.000,0.115,0.009,0.435,0.000,0.000,0.000,0.013,0.000,38.058,0.000,0.004,0.613
